ASSEMBLY_ID,COMPONENT_ID,COMPONENT_NAME,PARENT_COMPONENT_ID,COMPONENT_LIB_ID,COMPONENT_CATEGORY,INSERTION_ORDER,BLANK
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn|1-3-ADABN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1-3-ADABN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,10, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.lib.planserver.PlanServerPlugIn|1-3-ADABN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,1-3-ADABN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,11, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn|1-3-ADABN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,1-3-ADABN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,12, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn|1-3-ADABN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,1-3-ADABN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,13, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,1, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn|1-3-AVNBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1-3-AVNBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,2, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn|1-3-AVNBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,1-3-AVNBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,3, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,4, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,5, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,6, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,7, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,8, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,9, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,10, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.lib.planserver.PlanServerPlugIn|1-3-AVNBN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,1-3-AVNBN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,11, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn|1-3-AVNBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,1-3-AVNBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,12, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-3-AVNBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,1-3-AVNBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,13, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,14, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,15, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn|1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,1-3-AVNBN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,16, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn|1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,plugin,1, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn|1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,plugin,2, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,3, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn|1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,4, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn|1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,5, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,6, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,7, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,8, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,9, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,10, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,11, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,12, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.lib.planserver.PlanServerPlugIn|1-30-INFBN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,1-30-INFBN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,13, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn|1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,14, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn|1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin,15, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn|1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,plugin,16, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,1-30-INFBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,17, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,18, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,19, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn|1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,1-30-INFBN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,20, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn|1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,plugin,1, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn|1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,plugin,2, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,3, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn|1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,4, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn|1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,5, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,6, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,7, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,8, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,9, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,10, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,11, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,12, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.lib.planserver.PlanServerPlugIn|1-37-FABN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,1-37-FABN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,13, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn|1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,14, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn|1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin,15, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn|1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,plugin,16, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,1-37-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,17, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,18, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,19, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn|1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,1-37-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,20, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn|1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,plugin,1, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn|1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,plugin,2, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,3, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn|1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,4, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn|1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,5, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,6, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,7, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,8, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,9, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,10, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,11, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,12, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.lib.planserver.PlanServerPlugIn|1-41-FABN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,1-41-FABN,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,13, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn|1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,14, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn|1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin,15, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn|1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,plugin,16, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,1-41-FABN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,17, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,18, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,19, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn|1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,1-41-FABN,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,20, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn|1-64-ARBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,1-64-ARBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,plugin,1, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn|1-64-ARBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,1-64-ARBN,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,plugin,2, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn|1-64-ARBN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,1-64-ARBN,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,3, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn|1-64-ARBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1-64-ARBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,4, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn|1-64-ARBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,1-64-ARBN,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,5, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn|1-64-ARBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,1-64-ARBN,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,6, 
