CFW_GROUP_ID,ORG_ID,BLANK
SMALL-3ID-TRANS-STUB-CFW-GRP,92-ENGBN-CBTHVY, 
SMALL-3ID-TRANS-STUB-CFW-GRP,DLAHQ, 
SMALL-3ID-TRANS-STUB-CFW-GRP,IOC, 
SMALL-3ID-TRANS-STUB-CFW-GRP,TRANSCOM, 
3ID-TRANS-CFW-GRP,103-MIBN, 
3ID-TRANS-CFW-GRP,10-ENGBN, 
3ID-TRANS-CFW-GRP,10-TCBN-HHC, 
3ID-TRANS-CFW-GRP,1-10-FABN, 
3ID-TRANS-CFW-GRP,110-QMCO-POLSPLY, 
3ID-TRANS-CFW-GRP,1-14-CAVSQDN, 
3ID-TRANS-CFW-GRP,1-15-INFBN, 
3ID-TRANS-CFW-GRP,119-TCCO-CGO, 
3ID-TRANS-CFW-GRP,11-ENGBN, 
3ID-TRANS-CFW-GRP,1-23-INFBN, 
3ID-TRANS-CFW-GRP,123-SIGBN, 
3ID-TRANS-CFW-GRP,126-MEDTM-FSURG, 
3ID-TRANS-CFW-GRP,12-FABTRY, 
3ID-TRANS-CFW-GRP,1-30-INFBN, 
3ID-TRANS-CFW-GRP,1-37-FABN, 
3ID-TRANS-CFW-GRP,1-3-ADABN, 
3ID-TRANS-CFW-GRP,1-3-AVNBN, 
3ID-TRANS-CFW-GRP,1-41-FABN, 
3ID-TRANS-CFW-GRP,147-MEDLOGBN, 
3ID-TRANS-CFW-GRP,157-QMCO-FSVC, 
3ID-TRANS-CFW-GRP,1-64-ARBN, 
3ID-TRANS-CFW-GRP,180-TCBN-HHD, 
3ID-TRANS-CFW-GRP,186-WTRPURDET, 
3ID-TRANS-CFW-GRP,18-ENGCO, 
3ID-TRANS-CFW-GRP,18-QMPLT, 
3ID-TRANS-CFW-GRP,1-9-FABN, 
3ID-TRANS-CFW-GRP,1-BDE-3ID-HHC, 
3ID-TRANS-CFW-GRP,202-WTRPURDET, 
3ID-TRANS-CFW-GRP,203-FSB, 
3ID-TRANS-CFW-GRP,209-MICO, 
3ID-TRANS-CFW-GRP,21-MED-CSHOSP, 
3ID-TRANS-CFW-GRP,226-QMCO-SPLY, 
3ID-TRANS-CFW-GRP,2-3-AVNBN, 
3ID-TRANS-CFW-GRP,2-3-INFBN, 
3ID-TRANS-CFW-GRP,24-CSB-HHD, 
3ID-TRANS-CFW-GRP,24-ODCO, 
3ID-TRANS-CFW-GRP,24-SPTGP-HHC, 
3ID-TRANS-CFW-GRP,259-QMCO-FSVC, 
3ID-TRANS-CFW-GRP,2-69-ARBN, 
3ID-TRANS-CFW-GRP,26-FSB, 
3ID-TRANS-CFW-GRP,2-7-INFBN, 
3ID-TRANS-CFW-GRP,296-SPTBN, 
3ID-TRANS-CFW-GRP,2-BDE-3ID-HHC, 
3ID-TRANS-CFW-GRP,3-15-INFBN, 
3ID-TRANS-CFW-GRP,317-ENGBN, 
3ID-TRANS-CFW-GRP,324-SCBN-TRITAC, 
3ID-TRANS-CFW-GRP,334-SIGCO, 
3ID-TRANS-CFW-GRP,343-QMCO-SPLY, 
3ID-TRANS-CFW-GRP,3-69-ARBN, 
3ID-TRANS-CFW-GRP,36-MEDEVACBN-GAMBCO, 
3ID-TRANS-CFW-GRP,3-7-CAVSQDN, 
3ID-TRANS-CFW-GRP,3-7-INFBN, 
3ID-TRANS-CFW-GRP,396-TCCO-PLS, 
3ID-TRANS-CFW-GRP,39-FABTRY, 
3ID-TRANS-CFW-GRP,3-AVNBDE-HHC, 
3ID-TRANS-CFW-GRP,3-BDE-2ID-HHC, 
3ID-TRANS-CFW-GRP,3-BDE-3ID-HHC, 
3ID-TRANS-CFW-GRP,3-DISCOM-HHC, 
3ID-TRANS-CFW-GRP,3-FSB, 
3ID-TRANS-CFW-GRP,3ID-HHC, 
3ID-TRANS-CFW-GRP,3-MPCO, 
3ID-TRANS-CFW-GRP,406-TCDET-TPT, 
3ID-TRANS-CFW-GRP,416-TKCO-POL, 
3ID-TRANS-CFW-GRP,418-TKCO-POL, 
3ID-TRANS-CFW-GRP,4-64-ARBN, 
3ID-TRANS-CFW-GRP,512-QMCO-WTRSPLY, 
3ID-TRANS-CFW-GRP,5-20-INFBN, 
3ID-TRANS-CFW-GRP,52-INF-CCO, 
3ID-TRANS-CFW-GRP,553-CSB-HHD, 
3ID-TRANS-CFW-GRP,571-MEDDET-AMBL, 
3ID-TRANS-CFW-GRP,602-MAINTCO, 
3ID-TRANS-CFW-GRP,603-DASB, 
3ID-TRANS-CFW-GRP,61-ASMEDBN-MEDCO, 
3ID-TRANS-CFW-GRP,632-MAINTCO, 
3ID-TRANS-CFW-GRP,703-MSB, 
3ID-TRANS-CFW-GRP,89-TKCO-CGO, 
3ID-TRANS-CFW-GRP,92-ENGBN-CBTHVY, 
3ID-TRANS-CFW-GRP,96-TCCO-HET, 
3ID-TRANS-CFW-GRP,CENTCOM-HHC, 
3ID-TRANS-CFW-GRP,DIVARTY-3ID-HHB, 
3ID-TRANS-CFW-GRP,DLAHQ, 
3ID-TRANS-CFW-GRP,ENGBDE-3ID-HHD, 
3ID-TRANS-CFW-GRP,IOC, 
3ID-TRANS-CFW-GRP,JTF-HHC, 
3ID-TRANS-CFW-GRP,NCA, 
3ID-TRANS-CFW-GRP,TRANSCOM, 
3ID-TRANS-CFW-GRP,GlobalSea, 
3ID-TRANS-CFW-GRP,GlobalAir, 
3ID-TRANS-CFW-GRP,ShipPacker, 
3ID-TRANS-CFW-GRP,PlanePacker, 
3ID-TRANS-CFW-GRP,CONUSGround, 
3ID-TRANS-CFW-GRP,TheaterGround, 
SMALL-3ID-TRANS-CFW-GRP,NCA, 
SMALL-3ID-TRANS-CFW-GRP,CENTCOM-HHC, 
SMALL-3ID-TRANS-CFW-GRP,JTF-HHC, 
SMALL-3ID-TRANS-CFW-GRP,3ID-HHC, 
SMALL-3ID-TRANS-CFW-GRP,3-DISCOM-HHC, 
SMALL-3ID-TRANS-CFW-GRP,703-MSB, 
SMALL-3ID-TRANS-CFW-GRP,3-BDE-2ID-HHC, 
SMALL-3ID-TRANS-CFW-GRP,1-23-INFBN, 
SMALL-3ID-TRANS-CFW-GRP,296-SPTBN, 
SMALL-3ID-TRANS-CFW-GRP,2-BDE-3ID-HHC, 
SMALL-3ID-TRANS-CFW-GRP,2-7-INFBN, 
SMALL-3ID-TRANS-CFW-GRP,3-69-ARBN, 
SMALL-3ID-TRANS-CFW-GRP,3-FSB, 
SMALL-3ID-TRANS-CFW-GRP,24-SPTGP-HHC, 
SMALL-3ID-TRANS-CFW-GRP,24-CSB-HHD, 
SMALL-3ID-TRANS-CFW-GRP,110-QMCO-POLSPLY, 
SMALL-3ID-TRANS-CFW-GRP,553-CSB-HHD, 
SMALL-3ID-TRANS-CFW-GRP,10-TCBN-HHC, 
SMALL-3ID-TRANS-CFW-GRP,416-TKCO-POL, 
SMALL-3ID-TRANS-CFW-GRP,89-TKCO-CGO, 
SMALL-3ID-TRANS-CFW-GRP,180-TCBN-HHD, 
SMALL-3ID-TRANS-CFW-GRP,418-TKCO-POL, 
SMALL-3ID-TRANS-CFW-GRP,92-ENGBN-CBTHVY, 
SMALL-3ID-TRANS-CFW-GRP,DLAHQ, 
SMALL-3ID-TRANS-CFW-GRP,IOC, 
SMALL-3ID-TRANS-CFW-GRP,TRANSCOM, 
SMALL-3ID-TRANS-CFW-GRP,GlobalSea, 
SMALL-3ID-TRANS-CFW-GRP,GlobalAir, 
SMALL-3ID-TRANS-CFW-GRP,ShipPacker, 
SMALL-3ID-TRANS-CFW-GRP,PlanePacker, 
SMALL-3ID-TRANS-CFW-GRP,CONUSGround, 
SMALL-3ID-TRANS-CFW-GRP,TheaterGround, 
