CFW_ID,ROLE,ORG_ID,ORG_GROUP_ID,START_DATE,END_DATE,RELATION_ORDER,BLANK
"TRANSCOM-CFW","CONUSGroundTransportationProvider","CONUSGround","GlobalAir","2005-01-01 00:00:00",\N,2.000000000000000000000000000000
"TRANSCOM-CFW","OrganicAirTransportationProvider","PlanePacker","GlobalAir","2005-01-01 00:00:00",\N,2.000000000000000000000000000000
"TRANSCOM-CFW","TheaterStrategicTransportationProvider","TheaterGround","GlobalAir","2005-01-01 00:00:00",\N,2.000000000000000000000000000000
"TRANSCOM-CFW","CONUSGroundTransportationProvider","CONUSGround","GlobalSea","2005-01-01 00:00:00",\N,2.000000000000000000000000000000
"TRANSCOM-CFW","ShipPackingTransportationProvider","ShipPacker","GlobalSea","2005-01-01 00:00:00",\N,2.000000000000000000000000000000
"TRANSCOM-CFW","TheaterStrategicTransportationProvider","TheaterGround","GlobalSea","2005-01-01 00:00:00",\N,2.000000000000000000000000000000
"TRANSCOM-STUB-CFW","StrategicTransportationProvider","TRANSCOM","OSC","2005-01-01 00:00:00",\N,4.000000000000000000000000000000
"TRANSCOM-CFW","StrategicTransportationProvider","TRANSCOM","OSC","2005-01-01 00:00:00",\N,4.000000000000000000000000000000
"TRANSCOM-CFW","AirTransportationProvider","GlobalAir","TRANSCOM","2005-01-01 00:00:00",\N,3.000000000000000000000000000000
"TRANSCOM-CFW","SeaTransportationProvider","GlobalSea","TRANSCOM","2005-01-01 00:00:00",\N,3.000000000000000000000000000000
"1AD-CFW","FuelSupplyProvider","240-SSCO","5-CORPS-REAR-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","PackagedPOLSupplyProvider","240-SSCO","5-CORPS-REAR-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","SubsistenceSupplyProvider","240-SSCO","5-CORPS-REAR-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","SparePartsProvider","597-MAINTCO","5-CORPS-REAR-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","StrategicTransportationProvider","5-CORPS-REAR","5-CORPS-REAR-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","SparePartsProvider","127-DASB","AVNBDE-1-AD-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","SubsistenceSupplyProvider","127-DASB","AVNBDE-1-AD-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","StrategicTransportationProvider","1-AD","AVNBDE-1-AD-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","StrategicTransportationProvider","1-AD","DISCOM-1-AD-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","StrategicTransportationProvider","1-AD","DIVARTY-1-AD-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","AmmunitionProvider","123-MSB","DIVARTY-1-AD-OG","2005-01-01 00:00:00",\N,4.000000000000000000000000000000
"1AD-CFW","FuelSupplyProvider","123-MSB","DIVARTY-1-AD-OG","2005-01-01 00:00:00",\N,4.000000000000000000000000000000
"1AD-CFW","PackagedPOLSupplyProvider","123-MSB","DIVARTY-1-AD-OG","2005-01-01 00:00:00",\N,4.000000000000000000000000000000
"1AD-CFW","SparePartsProvider","123-MSB","DIVARTY-1-AD-OG","2005-01-01 00:00:00",\N,4.000000000000000000000000000000
"1AD-CFW","SubsistenceSupplyProvider","123-MSB","DIVARTY-1-AD-OG","2005-01-01 00:00:00",\N,4.000000000000000000000000000000
"1AD-CFW","StrategicTransportationProvider","3-SUPCOM-HQ","7-CSG-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","FuelSupplyProvider","110-POL-SUPPLYCO","900-POL-SUPPLYCO","2005-01-01 00:00:00",\N,2.000000000000000000000000000000
"1AD-CFW","PackagedPOLSupplyProvider","110-POL-SUPPLYCO","900-POL-SUPPLYCO","2005-01-01 00:00:00",\N,2.000000000000000000000000000000
"1AD-CFW","MaterielTransportProvider","181-TCBN","900-POL-SUPPLYCO","2005-01-01 00:00:00",\N,3.000000000000000000000000000000
"1AD-CFW","FuelTransportProvider","316-POL-SUPPLYBN","900-POL-SUPPLYCO","2005-01-01 00:00:00",\N,3.000000000000000000000000000000
"1AD-CFW","AmmunitionProvider","127-DASB","AVNBDE-1-AD-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","FuelSupplyProvider","127-DASB","AVNBDE-1-AD-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","PackagedPOLSupplyProvider","127-DASB","AVNBDE-1-AD-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","AmmunitionProvider","125-ORDBN","5-CORPS-REAR-OG","2005-01-01 00:00:00",\N,5.000000000000000000000000000000
"1AD-CFW","FuelSupplyProvider","123-MSB","501-FSB","2005-01-01 00:00:00",\N,4.000000000000000000000000000000
